ticker,view_date,fiscal_period,filing_type,view_bps,confidence,sentiment,eps_surprise
AFL,2023-02-25,FY2022,10-K,59,medium,negative,-74.47004760100802
AFL,2024-05-03,Q1_2024,10-Q,54,medium,negative,105.43875396654825
AFL,2024-11-02,Q3_2024,10-Q,43,medium,negative,-110.0652464801241
AFL,2024-08-02,Q2_2024,10-Q,72,medium,negative,93.68221122607089
AFL,2024-02-23,FY2023,10-K,13,medium,negative,-68.32828421922336
AIZ,2006-05-11,Q1_2006,10-Q,78,medium,negative,92.18749999999999
AFL,2025-05-08,Q1_2025,10-Q,-10,medium,negative,-96.8213604577241
AIZ,2006-08-10,Q2_2006,10-Q,30,medium,negative,27.472527472527457
AIZ,2006-11-15,Q3_2006,10-Q,105,medium,negative,43.90243902439025
AFL,2025-08-06,Q2_2025,10-Q,27,medium,negative,-34.767661214967
AFL,2025-11-06,Q3_2025,10-Q,51,medium,negative,73.83451856868722
AIZ,2007-05-10,Q1_2007,10-Q,92,medium,negative,44.99999999999999
AFL,2025-02-27,FY2024,10-K,100,medium,negative,110.76244237927379
AIZ,2007-08-10,Q2_2007,10-Q,23,medium,negative,18.26086956521741
AIZ,2008-05-13,Q1_2008,10-Q,9,medium,negative,27.868852459016402
AIZ,2007-11-10,Q3_2007,10-Q,-16,medium,negative,71.42857142857143
AIZ,2008-08-05,Q2_2008,10-Q,-34,medium,negative,-7.017543859649117
AIZ,2009-05-07,Q1_2009,10-Q,-72,medium,negative,-59.76331360946745
AIZ,2008-11-05,Q3_2008,10-Q,-83,medium,negative,-186.36363636363632
AIZ,2006-03-11,FY2005,10-K,48,medium,negative,58.46153846153847
AIZ,2009-08-07,Q2_2009,10-Q,-53,medium,negative,3.164556962025305
AIZ,2008-03-04,FY2007,10-K,-100,medium,negative,-21.70542635658915
AIZ,2009-11-05,Q3_2009,10-Q,-42,medium,negative,50.61728395061728
AIZ,2010-05-06,Q1_2010,10-Q,-8,medium,negative,76.31578947368422
AIZ,2010-08-06,Q2_2010,10-Q,-5,medium,negative,47.474747474747474
AIZ,2010-11-04,Q3_2010,10-Q,56,medium,negative,15.044247787610635
